ts_code,trade_date_x,open,high,low,close_x,pre_close,change,pct_chg,vol,amount,trade_date_y,close_y,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,symbol,name,area,industry,market,list_date
000546.SZ ,20210412,7.08,7.1,6.93,6.95,7.08,-0.13,-1.8362,36459.95,25510.783,20210412,6.95,0.5296,0.7986,1.11,9.8692,9.7626,1.1018,0.6078,0.5824,1.1511,1.1511,71464.4396,68848.3928,45657.63,496677.8552,478496.33,000546,金圆股份,吉林,水泥,主板,19931215
000547.SZ ,20210412,17.7,17.72,17.0,17.11,17.74,-0.63,-3.5513,177043.17,306535.962,20210412,17.11,1.4687,1.4775,1.15,40.6785,34.971,3.42,6.8004,6.0169,0.5144,0.5144,160542.1646,120540.5063,119823.6727,2746876.4363,2062448.0628,000547,航天发展,福建,通信设备,主板,19931130
000548.SZ ,20210412,3.95,4.05,3.95,4.0,3.95,0.05,1.2658,51247.17,20479.511,20210412,4.0,1.0266,1.5167,0.97,22.9917,22.9917,1.1131,4.5795,4.5795,,,49921.5811,49918.8811,33788.2354,199686.3244,199675.5244,000548,湖南投资,湖南,路桥,主板,19931220
000550.SZ ,20210412,26.8,27.39,26.25,26.31,26.91,-0.6,-2.2297,83585.19,222628.143,20210412,26.31,1.6122,5.0877,0.79,41.2406,41.2406,2.0672,0.6862,0.6862,0.2661,0.2661,86321.4,51846.316,16428.716,2271116.034,1364076.574,000550,江铃汽车,江西,汽车整车,主板,19931201
000551.SZ ,20210412,8.55,8.55,8.32,8.36,8.54,-0.18,-2.1077,22335.97,18769.613,20210412,8.36,0.5583,0.8693,0.68,28.6669,28.6669,1.7454,1.0409,1.0409,,,40008.0405,40008.0405,25695.5351,334467.2186,334467.2186,000551,创元科技,江苏,专用机械,主板,19940106
000552.SZ ,20210412,3.05,3.1,3.02,3.05,3.07,-0.02,-0.6515,508277.22,155171.594,20210412,3.05,2.2256,4.488,0.91,15.6728,15.6728,0.883,1.8918,1.8918,3.2787,3.2787,228697.105,228374.1262,113253.5682,697526.1703,696541.0849,000552,靖远煤电,甘肃,煤炭开采,主板,19940106
000553.SZ ,20210412,8.67,8.8,8.63,8.66,8.66,0.0,0.0,30482.11,26526.35,20210412,8.66,0.14,0.8736,0.67,57.5476,57.5476,0.9507,0.7137,0.7137,0.1446,0.1446,234412.1302,217706.7461,34892.95,2030009.0475,1885340.4212,000553,安道麦A,湖北,农药化肥,主板,19931203
000554.SZ ,20210412,4.56,4.64,4.54,4.57,4.58,-0.01,-0.2183,37596.92,17204.697,20210412,4.57,1.0367,1.0367,0.76,370.8214,421.2119,2.4218,0.7513,0.9355,,,48079.3318,36264.9711,36264.9711,219722.5463,165730.9179,000554,泰山石油,山东,石油贸易,主板,19931215
000555.SZ ,20210412,14.31,14.67,14.21,14.33,14.28,0.05,0.3501,115907.52,167444.093,20210412,14.33,1.2006,2.5115,0.98,29.3957,29.3957,2.5036,1.3085,1.3085,0.2705,0.2705,97576.8827,96542.7024,46150.2697,1398276.7291,1383456.9254,000555,神州信息,深圳,软件服务,主板,19940408
000557.SZ ,20210412,3.9,3.9,3.81,3.82,3.89,-0.07,-1.7995,89489.45,34344.085,20210412,3.82,0.6138,1.1201,0.96,124.3736,32.1792,1.0894,6.9645,6.7545,,,145837.4735,145791.6198,79893.2347,557099.1488,556923.9876,000557,西部创业,宁夏,铁路,主板,19940617
000558.SZ ,20210412,3.13,3.13,2.97,2.98,3.13,-0.15,-4.7923,207027.5,62821.96,20210412,2.98,1.6068,3.1817,1.24,,,3.1562,27.4372,27.4372,,,128922.3949,128841.9854,65069.1893,384188.7368,383949.1165,000558,莱茵体育,浙江,文教休闲,主板,19940509
000559.SZ ,20210412,5.16,5.22,5.1,5.18,5.16,0.02,0.3876,220546.5,113818.533,20210412,5.18,0.8011,1.8419,0.47,39.2405,39.2405,1.9887,1.5727,1.5727,0.9653,0.9653,330379.1344,275314.7124,119737.7737,1711363.9162,1426130.2102,000559,万向钱潮,浙江,汽车配件,主板,19940110
000560.SZ ,20210412,3.9,4.01,3.77,3.87,3.74,0.13,3.4759,684383.29,267556.738,20210412,3.87,3.0311,3.9709,5.89,11.0168,21.1831,0.8925,0.8131,0.9826,1.782,1.782,235550.0851,225785.2976,172347.5841,911578.8293,873789.1017,000560,我爱我家,云南,房产服务,主板,19940202
000561.SZ ,20210412,6.7,6.71,6.56,6.57,6.68,-0.11,-1.6467,30496.0,20135.158,20210412,6.57,0.509,1.1293,0.98,40.2631,40.2631,2.5281,2.8636,2.8636,,,60469.2321,59917.6586,27005.3292,397282.8549,393659.017,000561,烽火电子,陕西,通信设备,主板,19940509
000563.SZ ,20210412,3.32,3.34,3.3,3.32,3.32,0.0,0.0,96445.22,32023.864,20210412,3.32,0.2433,0.5555,0.69,22.6309,19.1857,1.1157,7.4961,6.2226,0.9036,0.9036,396401.2846,396401.2846,173629.1422,1316052.2649,1316052.2649,000563,陕国投A,陕西,多元金融,主板,19940110
000564.SZ ,20210412,2.67,2.76,2.58,2.6,2.7,-0.1,-3.7037,363184.01,96420.647,20210412,2.6,1.8105,2.001,0.95,,,0.5245,2.7001,5.6232,,,598200.4024,200595.2559,181497.9639,1555321.0462,521547.6653,000564,*ST大集,陕西,百货,主板,19940110
000565.SZ ,20210412,5.44,6.0,5.36,5.77,5.48,0.29,5.292,152473.08,85177.407,20210412,5.77,3.5165,5.9148,1.04,45.4259,45.4259,2.0922,5.7794,5.7794,0.26,0.26,43359.222,43359.222,25778.3238,250182.7109,250182.7109,000565,渝三峡A,重庆,染料涂料,主板,19940408
000566.SZ ,20210412,7.0,7.48,6.87,7.48,6.8,0.68,10.0,839788.09,615934.927,20210412,7.48,7.2061,9.7552,2.42,,,2.4398,3.9686,4.465,,,129736.5126,116539.0241,86086.0465,970429.1142,871711.9003,000566,海南海药,海南,化学制药,主板,19940525
000567.SZ ,20210412,11.07,11.69,10.69,10.91,10.67,0.24,2.2493,310045.54,345904.015,20210412,10.91,14.2304,19.7345,1.76,63.3905,96.0681,1.6095,22.7635,27.8897,,,64113.8926,21787.4938,15710.8139,699482.5683,237701.5574,000567,海德股份,海南,多元金融,主板,19940525
000568.SZ ,20210412,226.01,229.58,223.52,225.5,223.87,1.63,0.7281,144154.2,3273126.322,20210412,225.5,0.9845,2.0098,1.02,71.1552,54.9943,14.3141,20.8828,19.8345,0.7051,0.7051,146475.2476,146430.6555,71724.7024,33030168.3338,33020112.8153,000568,泸州老窖,四川,白酒,主板,19940509
000570.SZ ,20210412,5.57,5.63,5.46,5.48,5.58,-0.1,-1.7921,75753.01,42039.003,20210412,5.48,1.8415,3.1494,0.83,123.2182,70.0574,1.4154,1.5037,1.3849,,,56137.4326,41137.4326,24052.909,307633.1306,225433.1306,000570,苏常柴A,江苏,机械基件,主板,19940701
000571.SZ ,20210412,2.33,2.33,2.23,2.25,2.32,-0.07,-3.0172,52749.34,11927.982,20210412,2.25,0.654,0.8989,1.34,,,2.8109,1.2727,1.5505,,,81406.4,80653.902,58680.6988,183164.4,181471.2795,000571,*ST大洲,海南,综合类,主板,19940525
000572.SZ ,20210412,3.3,3.3,3.3,3.3,3.14,0.16,5.0955,50053.67,16517.711,20210412,3.3,0.3048,0.4654,0.52,63.7036,104.0015,1.1584,1.157,1.6995,,,164463.6426,164215.5224,107553.2273,542730.0206,541911.2239,000572,ST海马,海南,汽车整车,主板,19940808
