ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,pe,pb
000537.SZ,20210908,广宇发展,区域地产,主板,6.41,6.41,6.41,6.41,5.83,0.58,9.95,0.16,0.54,5.40,0.75,17293.79,19931210
600579.SH,20210908,克劳斯,化工机械,主板,7.33,7.96,7.96,7.16,7.24,0.72,9.94,6.64,1.75,0.00,1.16,209420.31,20020809
600186.SH,20210908,莲花健康,食品,主板,3.52,3.87,3.87,3.50,3.52,0.35,9.94,7.40,3.39,93.45,5.00,387782.57,19980825
000816.SZ,20210908,智慧农业,农用机械,主板,3.32,3.32,3.32,3.32,3.02,0.30,9.93,2.96,1.24,85.84,2.23,131420.04,19970818
000937.SZ,20210908,冀中能源,煤炭开采,主板,5.20,5.87,5.87,5.19,5.34,0.53,9.93,3.58,1.64,26.41,1.09,583536.86,19990909
600683.SH,20210908,京投发展,区域地产,主板,5.87,5.87,5.87,5.87,5.34,0.53,9.93,0.21,0.11,8.75,1.36,8935.80,19931025
000983.SZ,20210908,山西焦煤,煤炭开采,主板,13.88,15.22,15.24,13.88,13.85,1.37,9.89,4.71,1.22,31.87,3.02,2825355.81,20000726
600863.SH,20210908,内蒙华电,火力发电,主板,3.47,3.78,3.78,3.36,3.44,0.34,9.88,6.17,1.30,28.93,1.98,1304869.26,19940520
002503.SZ,20210908,搜于特,服饰,中小板,1.64,1.80,1.80,1.63,1.64,0.16,9.76,9.74,1.74,0.00,2.42,433196.43,20101117
industry,count,pe_mean,pe_median,pb_mean,pb_median,trade_date
化工原料,13,99.32,70.95,3.41,3.29,20210908
火力发电,7,81.03,28.76,2.00,1.52,20210908
互联网,6,55.38,60.55,3.88,3.79,20210908
元器件,5,39.35,36.76,5.61,4.25,20210908
食品,4,52.75,43.57,3.63,3.79,20210908
电气设备,4,36.64,33.85,2.71,2.39,20210908
铝,4,54.35,60.27,4.85,4.53,20210908
农药化肥,4,172.41,181.51,7.35,4.47,20210908
新型电力,3,73.45,32.26,2.66,2.10,20210908
水力发电,3,19.69,19.89,2.31,2.47,20210908
煤炭开采,3,47.34,31.87,2.13,2.28,20210908
造纸,3,10.68,11.92,2.45,2.34,20210908
通信设备,2,134.29,134.29,4.27,4.27,20210908
小金属,2,17.90,17.90,12.24,12.24,20210908
软件服务,2,180.38,180.38,5.40,5.40,20210908
区域地产,2,7.07,7.07,1.06,1.06,20210908
化工机械,2,383.82,383.82,2.07,2.07,20210908
矿物制品,2,65.27,65.27,8.70,8.70,20210908
供气供热,2,36.04,36.04,4.83,4.83,20210908
焦炭加工,2,188.10,188.10,9.77,9.77,20210908
家居用品,2,76.27,76.27,2.27,2.27,20210908
电器仪表,1,104.54,104.54,12.30,12.30,20210908
轻工机械,1,14.13,14.13,1.81,1.81,20210908
