market,up,down,amount,limit up,new limit up
All,3156,960,65382134,71,4
ZhuBan,2233,713,51326899,67,4
ChuangYe,722,191,12232153,3,0
KeChuang,201,56,1823080,1,0
ts_code,name,close,pct_chg,turnover_rate,volume_ratio,pe,total_mv,circ_mv,area,industry,market,list_date
600960.SH ,渤海汽车,4.42,9.95,6.77,4.92,58.05,420127.86,420127.86,山东,汽车配件,主板,20040407.00
600735.SH ,新华锦,6.19,9.95,6.22,0.69,29.68,232739.23,232739.23,山东,商贸代理,主板,19960726.00
000978.SZ ,桂林旅游,6.19,9.95,11.13,2.65,40.51,222901.90,222873.07,广西,旅游景点,主板,20000518.00
603123.SH ,翠微股份,7.52,9.94,1.91,6.25,34.09,600649.97,394156.45,北京,百货,主板,20120503.00
600814.SH ,杭州解百,7.30,9.94,2.76,2.20,19.56,521969.53,521969.53,浙江,百货,主板,19940114.00
600393.SH ,粤泰股份,2.22,9.90,3.04,0.63,31.29,563047.03,219381.63,广东,全国地产,主板,20010319.00
000010.SZ ,美丽生态,4.44,9.90,6.26,3.04,78.33,364015.49,231844.15,深圳,建筑工程,主板,19951027.00
002795.SZ ,永和智控,10.68,9.88,1.93,1.66,35.48,213600.00,189614.86,浙江,机械基件,中小板,20160428.00
industry,count,pe_mean,pe_median,pb_mean,pb_median
元器件,8,92.97,41.79,4.27,3.27
专用机械,4,225.73,129.48,8.39,4.35
百货,4,21.83,26.61,1.69,1.56
电气设备,3,131.81,39.85,3.27,3.34
化学制药,3,34.29,23.95,3.30,2.95
建筑工程,3,290.62,78.33,16.62,7.64
环境保护,3,36.19,36.44,3.18,3.13
机械基件,3,49.88,35.48,2.95,3.32
化工原料,2,10.90,10.90,2.42,2.42
纺织,2,51.04,51.04,5.82,5.82
广告包装,2,51.30,51.30,2.26,2.26
软饮料,2,53.63,53.63,5.20,5.20
影视音像,2,80.20,80.20,2.01,2.01
中成药,2,54.69,54.69,5.68,5.68
汽车配件,2,79.96,79.96,1.99,1.99
互联网,2,36.61,36.61,2.92,2.92
装修装饰,1,28.02,28.02,2.91,2.91
纺织机械,1,39.56,39.56,1.45,1.45
机床制造,1,57.03,57.03,31.37,31.37
轻工机械,1,0.00,0.00,2.16,2.16
软件服务,1,61.88,61.88,4.69,4.69
特种钢,1,56.72,56.72,4.66,4.66
渔业,1,0.00,0.00,2.85,2.85
汽车服务,1,0.00,0.00,2.22,2.22
文教休闲,1,213.10,213.10,2.65,2.65
服饰,1,22.20,22.20,1.45,1.45
普钢,1,36.88,36.88,1.18,1.18
旅游景点,1,40.51,40.51,1.53,1.53
工程机械,1,20.22,20.22,1.71,1.71
小金属,1,0.00,0.00,9.41,9.41
家居用品,1,36.04,36.04,4.75,4.75
塑料,1,21.30,21.30,1.84,1.84
商贸代理,1,29.68,29.68,2.45,2.45
医疗保健,1,153.43,153.43,7.01,7.01
化纤,1,10.25,10.25,1.23,1.23
出版业,1,62.82,62.82,1.32,1.32
农药化肥,1,22.52,22.52,3.62,3.62
其他商业,1,42.47,42.47,6.10,6.10
全国地产,1,31.29,31.29,0.90,0.90
酒店餐饮,1,0.00,0.00,58.85,58.85
