ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,pe,pb
000001.SH,20210422,3465.11,3482.83,3485.36,3456.32,3472.93,-7.82,-0.23,251114510.00,317081034.90,15.18,1.51
000005.SH,20210422,3155.74,3169.21,3170.96,3145.53,3162.94,-7.20,-0.23,15843560.00,20875412.40,14.63,1.46
000300.SH,20210422,5089.24,5114.28,5119.22,5067.14,5098.74,-9.50,-0.19,121167645.00,241488845.80,15.18,1.68
000905.SH,20210422,6445.47,6444.28,6472.80,6424.75,6420.26,25.21,0.39,124923877.00,131906162.20,26.16,2.07
399001.SZ,20210422,14209.44,14219.24,14244.49,14091.11,14151.15,58.30,0.41,323863295.00,423840346.90,30.91,3.46
399006.SZ,20210422,2939.39,2941.30,2950.23,2901.92,2916.97,22.42,0.77,76739357.00,145359577.60,75.38,7.69
market,trade_date,up,down,amount,limit up,new limit up
全部,20210422,2127,1923,740685128,49,0
主板,20210422,1427,1451,568285303,45,0
创业板,20210422,545,367,145359577,4,0
科创板,20210422,155,105,27040247,0,0
ts_code,trade_date,name,industry,market,open,close,high,low,pre_close,change,pct_chg,turnover_rate,volume_ratio,pe,pb,amount,list_date
600581.SH,20210422,八一钢铁,普钢,主板,4.64,5.07,5.07,4.63,4.61,0.46,9.98,11.60,2.60,24.57,1.73,894860.26,20020816
002587.SZ,20210422,奥拓电子,元器件,中小板,4.46,4.85,4.85,4.41,4.41,0.44,9.98,3.95,2.94,17.45,2.06,81485.30,20110610
002900.SZ,20210422,哈三联,化学制药,中小板,14.23,15.66,15.66,13.89,14.24,1.42,9.97,11.18,1.40,27.98,2.79,528193.45,20170922
600405.SH,20210422,动力源,电气设备,主板,6.67,6.73,6.73,6.67,6.12,0.61,9.97,5.15,0.43,338.70,3.52,191675.63,20040401
600735.SH,20210422,新华锦,商贸代理,主板,7.72,8.40,8.40,7.20,7.64,0.76,9.95,25.00,1.44,40.27,3.33,743635.18,19960726
603728.SH,20210422,鸣志电器,电气设备,主板,15.31,16.49,16.50,15.31,15.00,1.49,9.93,2.44,6.62,39.28,3.22,164633.98,20170509
002630.SZ,20210422,华西能源,专用机械,中小板,2.54,2.77,2.77,2.54,2.52,0.25,9.92,9.62,1.08,89.23,1.23,255907.61,20111111
industry,count,pe_mean,pe_median,pb_mean,pb_median,trade_date
电气设备,5,221.94,116.61,3.37,3.22,20210422
元器件,5,62.56,49.65,4.69,3.22,20210422
食品,4,56.19,56.35,6.29,5.92,20210422
汽车配件,4,186.03,35.92,3.56,2.85,20210422
化学制药,3,19.36,27.98,2.50,2.79,20210422
服饰,3,140.98,56.54,3.18,1.33,20210422
专用机械,3,81.40,89.23,5.14,4.63,20210422
通信设备,2,19.94,19.94,2.95,2.95,20210422
半导体,2,351.71,351.71,11.34,11.34,20210422
文教休闲,2,28.33,28.33,3.83,3.83,20210422
化工机械,1,38.20,38.20,4.84,4.84,20210422
机床制造,1,73.08,73.08,40.20,40.20,20210422
软件服务,1,0.00,0.00,11.34,11.34,20210422
矿物制品,1,45.55,45.55,3.60,3.60,20210422
互联网,1,89.45,89.45,2.42,2.42,20210422
环境保护,1,47.31,47.31,4.56,4.56,20210422
其他建材,1,33.61,33.61,9.27,9.27,20210422
普钢,1,24.57,24.57,1.73,1.73,20210422
农药化肥,1,41.88,41.88,2.83,2.83,20210422
化纤,1,881.35,881.35,6.22,6.22,20210422
日用化工,1,78.48,78.48,5.03,5.03,20210422
中成药,1,63.87,63.87,2.62,2.62,20210422
家用电器,1,25.46,25.46,4.44,4.44,20210422
商贸代理,1,40.27,40.27,3.33,3.33,20210422
医药商业,1,29.83,29.83,1.53,1.53,20210422
建筑工程,1,536.07,536.07,45.13,45.13,20210422
